epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,389.507,1.32778,0.51816,0.81279,2.05805,0.000275209,0.000275209,0.000275209
2,758.678,0.3879,0.58312,0.90281,1.66577,0.000541929,0.000541929,0.000541929
3,1085.31,0.28337,0.63836,0.96573,1.45862,0.000797653,0.000797653,0.000797653
4,1422.54,0.2801,0.67928,0.94936,1.21571,0.00078352,0.00078352,0.00078352
5,1812.74,0.24979,0.67519,0.95857,1.33233,0.000767026,0.000767026,0.000767026
6,2150.54,0.26572,0.65831,0.95652,1.5914,0.000750533,0.000750533,0.000750533
7,2546.61,0.17843,0.67212,0.94885,1.61552,0.00073404,0.00073404,0.00073404
8,2986.16,0.14666,0.68389,0.96777,1.29767,0.000717546,0.000717546,0.000717546
9,3491.02,0.15201,0.70026,0.96982,1.45751,0.000701053,0.000701053,0.000701053
10,3955.97,0.13895,0.70742,0.97545,1.35919,0.000684559,0.000684559,0.000684559
11,4420.29,0.134,0.7202,0.96266,1.44141,0.000668066,0.000668066,0.000668066
12,4871.79,0.12896,0.68849,0.95192,1.7027,0.000651573,0.000651573,0.000651573
13,5310.48,0.15426,0.67366,0.9468,1.57326,0.000635079,0.000635079,0.000635079
14,5750.94,0.09501,0.71407,0.97084,1.36439,0.000618586,0.000618586,0.000618586
15,6221.62,0.08415,0.65729,0.95345,1.73471,0.000602092,0.000602092,0.000602092
16,6671.31,0.10539,0.71611,0.97391,1.54259,0.000585599,0.000585599,0.000585599
17,7116.38,0.08442,0.69156,0.9555,1.61816,0.000569106,0.000569106,0.000569106
18,7468.17,0.08439,0.67468,0.95601,1.90959,0.000552612,0.000552612,0.000552612
19,7793.93,0.09305,0.70026,0.97187,1.58255,0.000536119,0.000536119,0.000536119
20,8158.25,0.05377,0.74834,0.97596,1.161,0.000519625,0.000519625,0.000519625
21,8498.77,0.05406,0.75038,0.96573,1.3035,0.000503132,0.000503132,0.000503132
22,8834.4,0.08978,0.71969,0.95345,1.60034,0.000486639,0.000486639,0.000486639
23,9178.62,0.04623,0.72481,0.9688,1.48858,0.000470145,0.000470145,0.000470145
24,9515.57,0.05247,0.74987,0.97852,1.3633,0.000453652,0.000453652,0.000453652
25,9899.94,0.06509,0.7289,0.97801,1.50181,0.000437158,0.000437158,0.000437158
26,10243.2,0.06175,0.71765,0.97238,1.6554,0.000420665,0.000420665,0.000420665
27,10564.5,0.04868,0.73606,0.97545,1.39584,0.000404172,0.000404172,0.000404172
28,10885.4,0.03757,0.72634,0.96777,1.46114,0.000387678,0.000387678,0.000387678
29,11200.6,0.05657,0.70281,0.96726,1.70113,0.000371185,0.000371185,0.000371185
30,11551.2,0.03647,0.69463,0.96266,1.73681,0.000354691,0.000354691,0.000354691
31,11884.8,0.02886,0.71151,0.96215,1.60953,0.000338198,0.000338198,0.000338198
32,12303.2,0.03508,0.69565,0.96675,1.62084,0.000321705,0.000321705,0.000321705
33,12741.8,0.03381,0.7376,0.96829,1.44681,0.000305211,0.000305211,0.000305211
34,13190.9,0.0394,0.74834,0.96726,1.36042,0.000288718,0.000288718,0.000288718
35,13661.3,0.02429,0.72327,0.96522,1.43067,0.000272224,0.000272224,0.000272224
36,14122.3,0.0407,0.69719,0.96113,1.49156,0.000255731,0.000255731,0.000255731
37,14484.8,0.03424,0.7023,0.96573,1.61706,0.000239238,0.000239238,0.000239238
38,14806.5,0.03226,0.71253,0.96573,1.55276,0.000222744,0.000222744,0.000222744
39,15137.5,0.02336,0.71714,0.97136,1.49543,0.000206251,0.000206251,0.000206251
40,15473.4,0.02353,0.72327,0.97084,1.33106,0.000189757,0.000189757,0.000189757
41,15806.6,0.02105,0.73402,0.97033,1.34931,0.000173264,0.000173264,0.000173264
42,16137.6,0.028,0.75857,0.97442,1.16663,0.000156771,0.000156771,0.000156771
43,16461.5,0.02445,0.74578,0.97442,1.26331,0.000140277,0.000140277,0.000140277
44,16783.3,0.02113,0.72941,0.97136,1.3422,0.000123784,0.000123784,0.000123784
45,17107.7,0.0205,0.74578,0.97187,1.32903,0.00010729,0.00010729,0.00010729
46,17451.8,0.01975,0.72941,0.96982,1.48856,9.0797e-05,9.0797e-05,9.0797e-05
47,663.276,0.01551,0.73964,0.97136,1.37981,7.43036e-05,7.43036e-05,7.43036e-05
48,1366.99,0.00832,0.73606,0.97033,1.34636,5.78102e-05,5.78102e-05,5.78102e-05
49,1778.89,0.01254,0.74527,0.97289,1.31646,4.13168e-05,4.13168e-05,4.13168e-05
50,2138.51,0.00907,0.74322,0.97033,1.3003,2.48234e-05,2.48234e-05,2.48234e-05
